,text,sentence,start_token,end_token,mention_type,label,grounding_id
2119,We,We have done the graphical simulations for India which is the second highest populous country in the world and also the second worst-hit country by COVID-19 .,0,1,TextBoundMention,Phrase,
2120,164689383,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",19,20,TextBoundMention,Value,
2121,2,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",35,36,TextBoundMention,Value,"(omodysplasia 2, doid:0080845, 1.00), (fibrochondrogenesis 2, doid:0080673, 1.00), (zygodactyly 1, doid:0111820, 0.86), (omodysplasia 1, doid:0080844, 0.86), (fibrochondrogenesis 1, doid:0080672, 0.86)"
2122,0,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",17,18,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2123,1,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",33,34,TextBoundMention,Value,"(zygodactyly 1, doid:0111820, 1.00), (omodysplasia 1, doid:0080844, 1.00), (fibrochondrogenesis 1, doid:0080672, 1.00), (hyperalphalipoproteinemia 1, doid:0111369, 0.89), (omodysplasia 2, doid:0080845, 0.86)"
2124,0,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",30,31,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2125,0,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",21,22,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2126,0,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",25,26,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2127,10,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",23,24,TextBoundMention,Value,"(Alphapapillomavirus 10, ncbitaxon:333754, 0.76), (Elevated 8(9)-cholestenol, hp:0003465, 0.76)"
2128,4,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",27,28,TextBoundMention,Value,"(CEL-170/4, vo:0011326, 1.00), (omodysplasia 2, doid:0080845, 0.76), (fibrochondrogenesis 2, doid:0080673, 0.76)"
2129,for India,We have done the graphical simulations for India which is the second highest populous country in the world and also the second worst-hit country by COVID-19 .,6,8,RelationMention,Context,
2130,which is the second highest populous country in the world,We have done the graphical simulations for India which is the second highest populous country in the world and also the second worst-hit country by COVID-19 .,8,18,RelationMention,Context,
2131,by COVID-19,We have done the graphical simulations for India which is the second highest populous country in the world and also the second worst-hit country by COVID-19 .,24,26,RelationMention,Context,
2132,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,39,40,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2133,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,24,25,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2134,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,10,11,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2135,1,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,5,6,TextBoundMention,Value,"(zygodactyly 1, doid:0111820, 1.00), (omodysplasia 1, doid:0080844, 1.00), (fibrochondrogenesis 1, doid:0080672, 1.00), (hyperalphalipoproteinemia 1, doid:0111369, 0.89), (omodysplasia 2, doid:0080845, 0.86)"
2136,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,8,9,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2137,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,3,4,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2138,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,15,16,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2139,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,13,14,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2140,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,18,19,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2141,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,20,21,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2142,0,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,26,27,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2143,2,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,0,1,TextBoundMention,Value,"(omodysplasia 2, doid:0080845, 1.00), (fibrochondrogenesis 2, doid:0080673, 1.00), (zygodactyly 1, doid:0111820, 0.86), (omodysplasia 1, doid:0080844, 0.86), (fibrochondrogenesis 1, doid:0080672, 0.86)"
2144,Initial values,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",0,2,TextBoundMention,Phrase,
2145,S,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",15,16,TextBoundMention,Phrase,"(mucopolysaccharidosis Ih/s, doid:0111389, 0.82), (Meruvax I, vo:0003109, 0.79), (Hyperpepsinogenemia I, hp:0003238, 0.79), (Fluviral S/F, vo:0000866, 0.76)"
2146,Bangladesh,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",13,14,TextBoundMention,Phrase,
2147,164689383,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",19,20,TextBoundMention,Phrase,
2148,E 1 E 2,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",32,36,TextBoundMention,Phrase,"(LolC/E, vo:0010921, 0.77), (ALVAC-WNV-prM/E, vo:0004731, 0.77)"
2149,0,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",17,18,TextBoundMention,Phrase,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2150,given classes,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",3,5,TextBoundMention,Phrase,"(defined class, iao:0000420, 0.77)"
2151,0,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",21,22,TextBoundMention,Phrase,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2152,0,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",25,26,TextBoundMention,Phrase,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2153,10,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",23,24,TextBoundMention,Phrase,"(Alphapapillomavirus 10, ncbitaxon:333754, 0.76), (Elevated 8(9)-cholestenol, hp:0003465, 0.76)"
2154,are,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",14,15,TextBoundMention,Phrase,
2155,4,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",27,28,TextBoundMention,Phrase,"(CEL-170/4, vo:0011326, 1.00), (omodysplasia 2, doid:0080845, 0.76), (fibrochondrogenesis 2, doid:0080673, 0.76)"
2156,used,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,7,8,TextBoundMention,VerbPhrase,
2157,have,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,6,7,TextBoundMention,VerbPhrase,
2158,3,"To perform numerical simulations , we took the numerical values from the Table 3 .",13,14,TextBoundMention,Value,"(omodysplasia 2, doid:0080845, 0.85), (fibrochondrogenesis 2, doid:0080673, 0.85), (SG33-VP2/5, vo:0004706, 0.83), (zygodactyly 1, doid:0111820, 0.82), (omodysplasia 1, doid:0080844, 0.82)"
2159,perform,"To perform numerical simulations , we took the numerical values from the Table 3 .",1,2,TextBoundMention,VerbPhrase,
2160,took,"To perform numerical simulations , we took the numerical values from the Table 3 .",6,7,TextBoundMention,VerbPhrase,
2161,Q,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,6,7,TextBoundMention,Unit,
2162,A,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,1,2,TextBoundMention,Unit,
2163,L,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,11,12,TextBoundMention,Unit,
2164,R,2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,16,17,TextBoundMention,Unit,
2165,Q (0),2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,6,10,TextBoundMention,Identifier,
2166,S(0),2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,37,41,TextBoundMention,Identifier,"(mucopolysaccharidosis Ih/s, doid:0111389, 0.82), (Meruvax I, vo:0003109, 0.82), (Hyperpepsinogenemia I, hp:0003238, 0.82), (omodysplasia 2, doid:0080845, 0.80), (fibrochondrogenesis 2, doid:0080673, 0.80)"
2167,D (0),2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,22,26,TextBoundMention,Identifier,"(digit 1 or 5, uberon:0019221, 0.79), (hyperalphalipoproteinemia 1, doid:0111369, 0.79), (SG33-VP2/5, vo:0004706, 0.78), (omodysplasia 2, doid:0080845, 0.78), (fibrochondrogenesis 2, doid:0080673, 0.78)"
2168,L (0),2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,11,15,TextBoundMention,Identifier,
2169,A (0),2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,1,5,TextBoundMention,Identifier,
2170,R (0),2 A ( 0 ) 1 Q ( 0 ) 0 L ( 0 ) 0 R ( 0 ) 0 and D ( 0 ) 0 We have used the total population of the country for S ( 0 ) .,16,20,TextBoundMention,Identifier,
2171,we,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",7,8,TextBoundMention,Phrase,
2172,13,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",5,6,TextBoundMention,Phrase,
2173,t,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",19,20,TextBoundMention,Phrase,
2174,t,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",24,25,TextBoundMention,Phrase,
2175,t,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",31,32,TextBoundMention,Phrase,
2176,Q,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",29,30,TextBoundMention,Phrase,
2177,family,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",2,3,TextBoundMention,Phrase,"(Family history, hp:0032316, 0.80)"
2178,t,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",21,22,TextBoundMention,Phrase,
2179,t,"In the family of Fig. 13 , we ) , ) , ) , ) ) ) , ( t ( t I ( t A ( t and Q ( t .",27,28,TextBoundMention,Phrase,
2180,is,"Erturk ture of infectious I ( t ) is same as for India , as when the population of infected individuals increases then asymptomatic infectious A ( t ) also increases with same nature .",8,9,TextBoundMention,VerbPhrase,"(is about, iao:0000136, 1.00), (is concretized as, ro:0000058, 0.76)"
2181,increases,"Erturk ture of infectious I ( t ) is same as for India , as when the population of infected individuals increases then asymptomatic infectious A ( t ) also increases with same nature .",21,22,TextBoundMention,VerbPhrase,"(Increased alpha-globulin, hp:0005413, 0.82)"
2182,increases,"Erturk ture of infectious I ( t ) is same as for India , as when the population of infected individuals increases then asymptomatic infectious A ( t ) also increases with same nature .",30,31,TextBoundMention,VerbPhrase,"(Increased alpha-globulin, hp:0005413, 0.82)"
2183,India,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,16,17,TextBoundMention,Location,
2184,13,"13 - 15 , we exempli fi ed the all necessary graphs of given classes to observe the dynamics of COVID-19 .",0,1,TextBoundMention,Value,
2185,K.N,K.N .,0,1,TextBoundMention,Phrase,
2186,Bangladesh,"Initial values of given classes = , = , = , = for Bangladesh are S ( 0 ) 164689383 ( 0 ) 10 ( 0 ) 4 I ( 0 ) E 1 E 2 , = , = , = , = = .",13,14,TextBoundMention,Location,
2187,b,"14 d and 15 b , we observed that at the different fractional order values the nature of the classes is nearly same .",4,5,TextBoundMention,Identifier,"(AIDSVAX B/B, vo:0000405, 0.90), (BoNT/B, vo:0010904, 0.79), (Enterovirus B, ncbitaxon:138949, 0.78), (Diphtheria-Tetanus-Pertussis-Hepatitis B vaccine, vo:0003172, 0.77), (Diphtheria-Tetanus-Pertussis-Haemophilus b vaccine, vo:0000942, 0.77)"
2188,d,"14 d and 15 b , we observed that at the different fractional order values the nature of the classes is nearly same .",1,2,TextBoundMention,Identifier,"(benzo[d]isothiazol-3-one, chebi:167099, 0.76)"
2189,observed,", When we compare the given classes with I ( t ) we again observed that when the population of infected individuals increases then asymptomatic infectious A ( t ) also increases with same nature .",14,15,TextBoundMention,VerbPhrase,
2190,increases,", When we compare the given classes with I ( t ) we again observed that when the population of infected individuals increases then asymptomatic infectious A ( t ) also increases with same nature .",22,23,TextBoundMention,VerbPhrase,"(Increased alpha-globulin, hp:0005413, 0.82)"
2191,increases,", When we compare the given classes with I ( t ) we again observed that when the population of infected individuals increases then asymptomatic infectious A ( t ) also increases with same nature .",31,32,TextBoundMention,VerbPhrase,"(Increased alpha-globulin, hp:0005413, 0.82)"
2192,compare,", When we compare the given classes with I ( t ) we again observed that when the population of infected individuals increases then asymptomatic infectious A ( t ) also increases with same nature .",3,4,TextBoundMention,VerbPhrase,
2193,study,"To study the outbreak of COVID-19 in India , in the family of Figs .",1,2,TextBoundMention,VerbPhrase,"(study design, obi:0500000, 0.83)"
2194,well deﬁned,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",35,39,TextBoundMention,Phrase,
2195,fractional order,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",44,46,TextBoundMention,Phrase,
2196,analysed data,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",25,27,TextBoundMention,Phrase,"(data set, iao:0000100, 0.75)"
2197,other,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",23,24,TextBoundMention,Phrase,
2198,t E 1 E,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",7,11,TextBoundMention,Phrase,"(LolC/E, vo:0010921, 0.80), (ALVAC-WNV-prM/E, vo:0004731, 0.80)"
2199,nature of  peaks,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",15,18,TextBoundMention,Phrase,
2200,S,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",5,6,TextBoundMention,Phrase,"(mucopolysaccharidosis Ih/s, doid:0111389, 0.82), (Meruvax I, vo:0003109, 0.79), (Hyperpepsinogenemia I, hp:0003238, 0.79), (Fluviral S/F, vo:0000866, 0.76)"
2201,same,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",20,21,TextBoundMention,Phrase,
2202,is,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",18,19,TextBoundMention,Phrase,"(is about, iao:0000136, 1.00), (is concretized as, ro:0000058, 0.76)"
2203,are,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",34,35,TextBoundMention,Phrase,
2204,different fractional order values peaks,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",29,34,TextBoundMention,Phrase,
2205,later time period,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",52,55,TextBoundMention,Phrase,"(time, pato:0000165, 0.84), (adverse event time period, oae:0001816, 0.83), (incubation period, ido:0000519, 0.78), (time interval for initial process after medical intervention, oae:0001810, 0.77), (adverse event incubation time, oae:0000065, 0.75)"
2206,plots,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",3,4,TextBoundMention,Phrase,
2207,peaks,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",48,49,TextBoundMention,Phrase,"(Juxtaphrenic peak, hp:0033656, 0.78)"
2208,observed,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",12,13,TextBoundMention,Phrase,
2209,we,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",41,42,TextBoundMention,Phrase,
2210,We,"We analysed the plots of S ( t E 1 E 2 observed that the nature of peaks is mostly same as for other above analysed data , for different fractional order values peaks are well de fi ned and when we decrease the fractional order then the peaks sifted towards the later time period .",0,1,TextBoundMention,Phrase,
2211,30%,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,9,11,TextBoundMention,Phrase,
2212,used,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,7,8,TextBoundMention,Phrase,
2213,have,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,6,7,TextBoundMention,Phrase,
2214,0,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,2,3,TextBoundMention,Phrase,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2215,0,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,4,5,TextBoundMention,Phrase,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2216,India,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,16,17,TextBoundMention,Phrase,
2217,total population,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,13,15,TextBoundMention,Phrase,"(population, obi:0000181, 0.82), (infected population, ido:0000511, 0.76)"
2218,We,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,5,6,TextBoundMention,Phrase,
2219,0,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,20,21,TextBoundMention,Phrase,"(SG33-VP2/5, vo:0004706, 0.82), (digit 1 or 5, uberon:0019221, 0.82), (omodysplasia 2, doid:0080845, 0.81), (fibrochondrogenesis 2, doid:0080673, 0.81), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
2220,S,D ( 0 ) 0 We have used the 30 % of the total population of India for S ( 0 ) .,18,19,TextBoundMention,Phrase,"(mucopolysaccharidosis Ih/s, doid:0111389, 0.82), (Meruvax I, vo:0003109, 0.79), (Hyperpepsinogenemia I, hp:0003238, 0.79), (Fluviral S/F, vo:0000866, 0.76)"
